Frequency	S11(dB)	S21(dB)
1.121625000000000050e+01	-2.565320220961300191e-01	-1.241956468083538390e+01
1.121980000000000111e+01	-2.568939638000216075e-01	-1.241363910287409844e+01
1.122335000000000171e+01	-2.572560409352864785e-01	-1.240771827869196287e+01
1.122690000000000055e+01	-2.576182551221949946e-01	-1.240180219903606940e+01
1.123045000000000115e+01	-2.579806079678423902e-01	-1.239589085467765983e+01
1.123400000000000176e+01	-2.583431010662453620e-01	-1.238998423641208113e+01
1.123755000000000059e+01	-2.587057359983983007e-01	-1.238408233505870015e+01
1.124110000000000120e+01	-2.590685143323868123e-01	-1.237818514146079352e+01
1.124465000000000181e+01	-2.594314376234254649e-01	-1.237229264648554050e+01
1.124820000000000064e+01	-2.597945074139690336e-01	-1.236640484102387738e+01
1.125175000000000125e+01	-2.601577252337770596e-01	-1.236052171599045479e+01
1.125530000000000186e+01	-2.605210925999937865e-01	-1.235464326232356669e+01
1.125885000000000069e+01	-2.608846110172171051e-01	-1.234876947098506506e+01
1.126240000000000130e+01	-2.612482819775929221e-01	-1.234290033296027289e+01
1.126595000000000191e+01	-2.616121069608791094e-01	-1.233703583925793446e+01
1.126950000000000074e+01	-2.619760874345206658e-01	-1.233117598091012823e+01
1.127305000000000135e+01	-2.623402248537249903e-01	-1.232532074897216390e+01
1.127660000000000196e+01	-2.627045206615540307e-01	-1.231947013452256456e+01
1.128015000000000079e+01	-2.630689762889754646e-01	-1.231362412866295131e+01
1.128370000000000140e+01	-2.634335931549529608e-01	-1.230778272251796679e+01
1.128725000000000023e+01	-2.637983726665115713e-01	-1.230194590723522374e+01
1.129080000000000084e+01	-2.641633162188196660e-01	-1.229611367398520549e+01
1.129435000000000144e+01	-2.645284251952577104e-01	-1.229028601396121978e+01
1.129790000000000028e+01	-2.648937009674871557e-01	-1.228446291837929927e+01
1.130145000000000088e+01	-2.652591448955349818e-01	-1.227864437847813761e+01
1.130500000000000149e+01	-2.656247583278550373e-01	-1.227283038551901839e+01
1.130855000000000032e+01	-2.659905426014044783e-01	-1.226702093078573341e+01
1.131210000000000093e+01	-2.663564990417149891e-01	-1.226121600558451163e+01
1.131565000000000154e+01	-2.667226289629653357e-01	-1.225541560124396057e+01
1.131920000000000037e+01	-2.670889336680498105e-01	-1.224961970911496678e+01
1.132275000000000098e+01	-2.674554144486515073e-01	-1.224382832057063908e+01
1.132630000000000159e+01	-2.678220725853082129e-01	-1.223804142700623920e+01
1.132985000000000042e+01	-2.681889093474882357e-01	-1.223225901983908770e+01
1.133340000000000103e+01	-2.685559259936636245e-01	-1.222648109050851417e+01
1.133695000000000164e+01	-2.689231237713581857e-01	-1.222070763047577913e+01
1.134050000000000047e+01	-2.692905039172412973e-01	-1.221493863122399937e+01
1.134405000000000108e+01	-2.696580676571823099e-01	-1.220917408425805917e+01
1.134760000000000169e+01	-2.700258162063272627e-01	-1.220341398110456943e+01
1.135115000000000052e+01	-2.703937507691593911e-01	-1.219765831331177885e+01
1.135470000000000113e+01	-2.707618725395677939e-01	-1.219190707244948868e+01
1.135825000000000173e+01	-2.711301827009180987e-01	-1.218616025010901716e+01
1.136180000000000057e+01	-2.714986824261169662e-01	-1.218041783790308941e+01
1.136535000000000117e+01	-2.718673728776839216e-01	-1.217467982746579302e+01
1.136890000000000178e+01	-2.722362552078050335e-01	-1.216894621045248925e+01
